N,Type,MEAN,STD,Sig,Text,xtype
1,gOutside,NA,NA,NA,NA,OBS
1,hPA,0.301631052,NA,NA,NA,OBS
1,iControl,NA,NA,NA,NA,OBS
3,aBaseline,0.042947063,0.056859023,0.25935483,NA,XGBoost
4,aCO2,0.267032248,0.009283818,3.58E-07,* *,XGBoost
5,bCLI,0.017564387,0.006108091,0.777959347,NA,XGBoost
1,aBaseline,0.00857122,0.01386909,0.194595098,NA,MMEM
1,aCO2,0.08534938,0.0618174,0,* *,MMEM
1,bCLI,-0.01020758,0.03438811,0.910195708,NA,MMEM
